,Act1(AccessibleBritishColumbia).pdf,Act2(EscheatAct).pdf,Act3(FamilyLawPart1).pdf,Total
the,150,378,57,585
of,85,175,45,305
to,65,147,36,248
or,46,115,40,201
in,59,109,24,192
and,65,55,22,142
that,20,60,9,89
is,12,49,23,84
act,34,31,16,81
under,26,42,12,80
property,0,66,9,75
person,11,40,22,73
any,12,55,4,71
for,22,39,9,70
accessibility,65,0,0,65
section,27,26,12,65
an,17,33,14,64
government,4,60,0,64
may,16,42,3,61
land,0,60,0,60
by,22,32,4,58
part,17,19,22,58
on,11,42,3,56
general,4,46,1,51
this,19,18,8,45
attorney,0,44,0,44
if,4,37,2,43
it,2,38,2,42
as,13,20,9,42
not,15,23,3,41
with,25,6,9,40
water,0,40,0,40
committee,37,0,0,37
family,0,0,36,36
has,2,28,6,36
must,23,13,0,36
means,6,7,22,35
subsection,11,24,0,35
be,12,18,4,34
regulations,18,8,4,30
columbia,19,7,2,28
british,19,7,2,28
order,0,23,5,28
system,0,27,0,27
agreement,0,20,6,26
minister,24,2,0,26
corporation,0,26,0,26
https,10,11,4,25
pm,10,11,4,25
owner,0,25,0,25
escheated,0,24,0,24
provincial,20,0,3,23
estate,0,23,0,23
which,3,15,5,23
escheat,0,22,0,22
gov,10,11,1,22
at,9,12,1,22
bc,10,11,1,22
other,6,9,6,21
standards,21,0,0,21
made,0,18,3,21
persons,14,4,2,20
accessible,20,0,0,20
make,8,11,1,20
time,5,10,4,19
from,3,14,2,19
without,9,9,1,19
subject,6,9,3,18
relation,3,12,3,18
court,0,13,5,18
amount,1,17,0,18
child,0,0,17,17
who,4,6,7,17
statreg,10,4,3,17
organization,16,0,0,16
standard,16,0,0,16
serviced,0,16,0,16
been,0,16,0,16
following,11,1,4,16
calcivixldocumentlidllc,9,4,3,16
entitled,0,16,0,16
ilwwwbclaws,8,5,3,16
are,9,4,3,16
plan,13,2,0,15
respecting,11,0,4,15
division,10,0,5,15
interest,0,15,0,15
legal,0,15,0,15
purposes,6,5,4,15
out,6,5,3,14
proposed,14,0,0,14
law,1,2,11,14
had,0,14,0,14
prescribing,7,6,0,13
supreme,0,12,1,13
deferral,0,13,0,13
including,5,3,5,13
notice,0,13,0,13
referred,3,7,3,13
council,7,5,0,12
possession,0,12,0,12
organizations,12,0,0,12
date,2,8,2,12
vested,0,12,0,12
apply,5,7,0,12
application,3,8,0,11
after,3,8,0,11
parenting,0,0,11,11
prescribed,4,4,3,11
ii,7,1,3,11
spouse,0,0,11,11
real,0,11,0,11
barriers,10,0,0,10
development,10,0,0,10
its,6,4,0,10
individuals,10,0,0,10
deceased,0,10,0,10
within,2,4,4,10
into,1,9,0,10
lieutenant,7,3,0,10
members,10,0,0,10
owing,0,10,0,10
manner,1,9,0,10
same,1,8,1,10
governor,7,3,0,10
reference,2,1,6,9
disabilities,9,0,0,9
title,0,9,0,9
indigenous,9,0,0,9
terms,3,5,1,9
intestate,0,9,0,9
least,6,2,1,9
certificate,0,9,0,9
years,4,3,2,9
set,2,4,3,9
technical,9,0,0,9
support,4,0,5,9
equitable,0,8,0,8
moral,0,8,0,8
pay,4,4,0,8
changes,4,2,2,8
dissolution,0,8,0,8
force,5,1,2,8
grant,1,7,0,8
review,5,3,0,8
rights,6,2,0,8
recognition,8,0,0,8
guardian,0,0,8,8
dispute,0,0,8,8
registered,0,8,0,8
bclaws,1,6,1,8
ilwww,1,6,1,8
iii,2,5,1,8
member,0,0,8,8
whether,1,7,0,8
against,0,7,0,7
all,0,6,1,7
conditions,1,6,0,7
have,1,6,0,7
charge,1,6,0,7
peoples,7,0,0,7
parent,0,0,7,7
making,2,5,0,7
haida,0,7,0,7
one,2,2,3,7
provisions,3,4,0,7
public,6,1,0,7
calcivixldocumentlidllclstatreg,0,7,0,7
does,6,1,0,7
year,5,2,0,7
escheats,0,7,0,7
includes,1,1,5,7
whom,1,5,1,7
canada,3,2,2,7
considers,3,4,0,7
legislative,3,2,2,7
matter,2,3,2,7
accordance,6,1,0,7
limiting,5,1,0,6
determination,2,4,0,6
committees,6,0,0,6
copyright,2,2,2,6
monetary,6,0,0,6
meaning,2,2,2,6
king,2,2,2,6
interpretation,3,1,2,6
inquiry,0,6,0,6
sale,0,6,0,6
so,1,4,1,6
term,1,5,0,6
taken,1,4,1,6
heirs,0,6,0,6
given,2,4,0,6
become,0,6,0,6
developing,6,0,0,6
spouses,0,0,6,6
fee,0,6,0,6
period,3,2,1,6
constable,0,0,6,6
appointed,5,0,1,6
regulation,6,0,0,6
portion,0,6,0,6
printer,2,2,2,6
victoria,2,2,2,6
vests,0,6,0,6
providing,0,6,0,6
justice,0,0,6,6
necessary,3,3,0,6
consider,5,0,1,6
sections,4,1,0,5
respect,0,4,1,5
action,0,4,1,5
affected,5,0,0,5
authority,3,2,0,5
applies,1,4,0,5
appropriate,1,4,0,5
sign,5,0,0,5
report,5,0,0,5
relevant,4,0,1,5
principles,5,0,0,5
formats,5,0,0,5
contents,3,1,1,5
paid,0,5,0,5
penalties,5,0,0,5
personal,0,4,1,5
otherwise,0,4,1,5
claim,0,5,0,5
proper,0,5,0,5
definitions,2,2,1,5
gwaii,0,5,0,5
limitation,5,0,0,5
languages,5,0,0,5
money,0,5,0,5
more,2,1,2,5
appeal,1,4,0,5
waiver,0,4,0,4
was,0,4,0,4
